full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
branden_grace,2017,0,0,1,287,291,299,8,0,0,0,0.0,292.0,0.5847,0.664,18.883392633769787,0.6667000000000001,0.4545,1.6380000000000001,70.862,0.18,0.17300000000000001,0.165,-0.248,0.518,0.271
branden_grace,2018,0,0,1,293,287,295,8,0,0,0,0.0,298.9,0.6349,0.6709999999999999,20.509561997598425,0.6277,0.5,1.63,70.41199999999998,0.163,0.174,0.125,0.35,0.46299999999999997,0.812
brandt_jobe,2005,0,0,1,293,315,303,-12,0,0,0,0.0,302.3,0.5729,0.6552,19.59071009999949,0.5909,0.3708,1.6230000000000002,70.43,0.429,0.314,-0.18600000000000005,0.15,0.557,0.7070000000000001
brandt_snedeker,2007,0,1,1,284,315,305,-10,0,0,0,0.0,285.6,0.598,0.6457999999999999,17.746852713932125,0.6,0.5590999999999999,1.528,70.089,-0.157,0.226,0.092,0.511,0.161,0.672
brandt_snedeker,2008,0,0,0,315,284,302,18,0,0,0,0.0,280.8,0.6051,0.6335999999999999,18.51517485739738,0.6303,0.4951,1.617,70.506,-0.28,0.325,0.11599999999999999,0.122,0.161,0.282
brandt_snedeker,2010,0,0,1,284,315,300,-15,0,0,0,0.0,277.1,0.6426999999999999,0.6236,19.356097015324824,0.5694,0.6,1.554,70.258,-0.287,0.08800000000000001,0.308,0.46299999999999997,0.109,0.5720000000000001
brandt_snedeker,2011,0,0,1,288,284,299,15,0,0,0,0.0,287.2,0.6402,0.649,19.62655492778428,0.5879,0.4706,1.584,69.859,0.127,0.191,0.18899999999999997,0.588,0.507,1.094
brandt_snedeker,2012,0,1,1,284,288,297,9,0,0,0,0.0,288.7,0.605,0.6375,20.550824108239013,0.6509999999999999,0.5918,1.551,69.84,-0.276,0.11,0.316,0.86,0.15,1.01
brandt_snedeker,2013,0,0,1,295,284,300,16,0,0,0,0.0,281.3,0.6257,0.6568,18.994975943946628,0.6462,0.6711,1.577,69.791,-0.025,0.121,0.354,0.6920000000000001,0.449,1.141
brandt_snedeker,2014,0,0,0,315,295,304,9,0,0,0,0.0,285.6,0.637,0.6328,19.44049190978573,0.6133,0.5341,1.5959999999999999,70.671,-0.043,0.14300000000000002,0.217,0.326,0.318,0.644
brandt_snedeker,2015,0,1,1,289,315,295,-20,0,0,0,0.0,288.4,0.6098,0.6496999999999999,19.90315050437995,0.5876,0.6422,1.57,70.158,-0.126,-0.19899999999999998,0.344,0.588,0.02,0.607
brandt_snedeker,2016,0,0,1,291,289,304,15,0,0,0,0.0,292.6,0.5869,0.6567000000000001,19.93505949883828,0.6484000000000001,0.5789,1.5919999999999999,70.203,-0.059000000000000004,0.16399999999999998,0.32,0.395,0.573,0.968
brandt_snedeker,2018,0,0,0,315,291,295,4,0,0,0,0.0,293.1,0.6279,0.6504000000000001,19.669089522367038,0.5893,0.5766,1.591,70.37899999999998,-0.145,-0.026000000000000002,0.318,0.478,0.147,0.625
brandt_snedeker,2019,0,0,0,315,315,295,-20,0,0,0,0.0,287.2,0.6325,0.6493000000000001,20.66864506659517,0.5824,0.6115999999999999,1.574,70.52,-0.193,0.083,0.48,0.5920000000000001,0.37,0.9620000000000001
brendan_steele,2011,0,0,0,315,315,299,-16,0,0,0,0.0,292.8,0.6483,0.6545000000000001,18.74464723594445,0.4622,0.5135000000000001,1.5959999999999999,71.01899999999998,0.11800000000000001,0.209,-0.273,-0.06,0.054000000000000006,-0.006
brendan_steele,2016,0,0,1,291,315,304,-11,0,0,0,0.0,302.2,0.6029,0.6872,19.000661391997212,0.4970000000000001,0.6029,1.655,70.855,0.331,0.23800000000000002,-0.188,-0.287,0.542,0.255
brendan_steele,2017,0,0,0,315,291,299,8,0,0,0,0.0,300.4,0.6288,0.6726000000000001,19.770376671930155,0.6416,0.4051,1.6280000000000001,70.503,0.387,0.41100000000000003,0.09,-0.013000000000000001,0.888,0.875
brendon_de_jonge,2013,0,0,1,295,315,300,-15,0,0,0,0.0,286.3,0.6628000000000001,0.6884,17.963752565931202,0.6095,0.5431,1.617,70.154,0.28,0.414,0.032,0.03,0.725,0.7559999999999999
brendon_todd,2014,0,0,0,315,315,304,-11,0,0,0,0.0,280.3,0.6485,0.6399,19.26534242493499,0.6292,0.6131,1.574,70.04899999999999,0.015,-0.174,0.289,0.664,0.129,0.7929999999999999
