,full_name,season,masters_played,min,mean,prior_score,SG_per_round,driving_distance,driving_accuracy,greens_in_regulation,par_or_better_distance,scrambling,putting_rating,made_cut,top_10,total_score
141,camilo_villegas,2010,6,282.0,302.5,294.0,-1.2,289.6,0.6165999999999999,0.6605,18.626905663135073,0.575,299.8,1,0,294.0
142,camilo_villegas,2014,6,282.0,302.5,294.0,-1.2,292.5,0.5995,0.6696,19.139014255354603,0.5664,195.4,0,0,315.0
143,carl_pettersson,2005,5,292.0,306.6,315.0,-2.2,291.7,0.6082,0.6607999999999999,19.38898076227835,0.6147,152.2,1,0,292.0
144,carl_pettersson,2006,5,292.0,306.6,292.0,-2.2,286.6,0.6101,0.6231,19.86485464331416,0.5895,166.3,1,0,307.0
145,carl_pettersson,2008,5,292.0,306.6,307.0,-2.2,286.0,0.5987,0.6354,19.117335065327488,0.59,93.4,0,0,315.0
146,carl_pettersson,2010,5,292.0,306.6,315.0,-2.2,282.1,0.6282,0.638,18.70313442982218,0.6206,64.9,0,0,315.0
147,carl_pettersson,2012,5,292.0,306.6,315.0,-2.2,297.1,0.5763,0.6389,19.72784178937642,0.6037,76.6,1,0,304.0
148,carlos_franco,2004,1,315.0,315.0,315.0,-4.3,290.6,0.5932999999999999,0.6846,19.222631735361663,0.6103000000000001,271.2,0,0,315.0
149,chad_campbell,2002,7,276.0,298.7142857142857,315.0,-0.2,281.5,0.7218000000000001,0.6916,17.07114012009743,0.5982999999999999,175.8,0,0,315.0
150,chad_campbell,2003,7,276.0,298.7142857142857,315.0,-0.2,294.6,0.6892,0.7179000000000001,17.378841301997095,0.5483,226.4,0,0,315.0
151,chad_campbell,2004,7,276.0,298.7142857142857,315.0,-0.2,288.0,0.6392,0.6774,17.471832489912313,0.5889,211.8,1,0,288.0
152,chad_campbell,2005,7,276.0,298.7142857142857,288.0,-0.2,294.0,0.6157,0.6854,18.198712771176368,0.5566,155.9,1,1,284.0
153,chad_campbell,2006,7,276.0,298.7142857142857,284.0,-0.2,290.9,0.5977,0.6743000000000001,18.218091168762253,0.5784,199.9,0,0,315.0
154,chad_campbell,2008,7,276.0,298.7142857142857,315.0,-0.2,289.9,0.6568,0.6844,17.766582864092538,0.5468,223.4,1,1,276.0
155,chad_campbell,2009,7,276.0,298.7142857142857,276.0,-0.2,291.0,0.635,0.6919,17.747528172959743,0.5975,206.7,1,0,298.0
156,charl_schwartzel,2011,8,282.0,302.125,315.0,-1.1,297.0,0.6173,0.6597,20.60581441001544,0.5977,241.0,1,0,296.0
157,charl_schwartzel,2012,8,282.0,302.125,296.0,-1.1,295.8,0.6141,0.6265,18.5564118897545,0.5895,93.8,1,0,290.0
158,charl_schwartzel,2013,8,282.0,302.125,290.0,-1.1,296.1,0.5987,0.6585,19.677745819975303,0.5502,102.1,0,0,315.0
159,charl_schwartzel,2014,8,282.0,302.125,315.0,-1.1,297.8,0.5945,0.6353,21.691919642525367,0.6167,217.2,1,0,289.0
160,charl_schwartzel,2015,8,282.0,302.125,289.0,-1.1,300.4,0.6081,0.6498999999999999,20.045114117909133,0.5466,314.3,0,0,315.0
161,charl_schwartzel,2016,8,282.0,302.125,315.0,-1.1,296.7,0.5686,0.6873,19.437668327245426,0.5964,233.6,1,1,282.0
162,charl_schwartzel,2017,8,282.0,302.125,282.0,-1.1,299.1,0.5431,0.6175999999999999,21.60993855716496,0.6004999999999999,138.8,0,0,315.0
163,charl_schwartzel,2018,8,282.0,302.125,315.0,-1.1,299.5,0.5519,0.6111,21.19136542910815,0.5788,221.9,0,0,315.0
164,charles_howell_iii,2002,8,285.0,300.125,315.0,-0.6,293.7,0.6931,0.6905,19.52221106842153,0.601,261.4,1,0,294.0
165,charles_howell_iii,2003,8,285.0,300.125,294.0,-0.6,294.6,0.624,0.6787000000000001,19.49604543234345,0.597,164.9,1,0,288.0
166,charles_howell_iii,2004,8,285.0,300.125,288.0,-0.6,288.5,0.6435,0.6606000000000001,19.337576240602413,0.5981000000000001,246.3,0,0,315.0
167,charles_howell_iii,2005,8,285.0,300.125,315.0,-0.6,293.6,0.5751,0.6611,19.80915634245941,0.5902000000000001,185.7,0,0,315.0
168,charles_howell_iii,2006,8,285.0,300.125,315.0,-0.6,295.4,0.5639,0.6589,19.84590244231791,0.5692,242.7,1,0,301.0
169,charles_howell_iii,2007,8,285.0,300.125,301.0,-0.6,299.8,0.4954,0.6336999999999999,19.600701518057967,0.5538000000000001,134.8,0,0,315.0
170,charles_howell_iii,2011,8,285.0,300.125,315.0,-0.6,297.3,0.5751,0.6890999999999999,19.334608560672862,0.6392,140.0,1,0,288.0
171,charles_howell_iii,2018,8,285.0,300.125,288.0,-0.6,300.9,0.6259,0.6933,19.190581330578688,0.6087,175.2,1,0,285.0
172,charley_hoffman,2010,6,280.0,286.3333333333333,315.0,2.8,298.2,0.6159,0.6653,19.845530650641606,0.606,182.4,1,0,287.0
173,charley_hoffman,2014,6,280.0,286.3333333333333,287.0,2.8,299.2,0.5869,0.6708,19.46215299769159,0.5953,117.5,1,1,280.0
174,charley_hoffman,2015,6,280.0,286.3333333333333,280.0,2.8,298.9,0.5801,0.6618999999999999,20.60860658263381,0.5874,182.4,1,0,295.0
175,charley_hoffman,2016,6,280.0,286.3333333333333,295.0,2.8,298.2,0.5479999999999999,0.6457999999999999,18.583941320398107,0.5775,246.7,1,0,290.0
176,charley_hoffman,2017,6,280.0,286.3333333333333,290.0,2.8,298.7,0.5856,0.6662,20.78569084129753,0.5655,205.5,1,0,282.0
177,charley_hoffman,2018,6,280.0,286.3333333333333,282.0,2.8,299.5,0.5834,0.6653,19.25778415847588,0.5622,232.1,1,0,284.0
178,chez_reavie,2008,3,298.0,309.3333333333333,315.0,-2.9,281.8,0.7256,0.6661,16.885468872014712,0.5891,282.7,0,0,315.0
179,chez_reavie,2011,3,298.0,309.3333333333333,315.0,-2.9,293.5,0.6731999999999999,0.6859999999999999,18.443335592505434,0.55,283.6,0,0,315.0
180,chez_reavie,2017,3,298.0,309.3333333333333,315.0,-2.9,285.2,0.7140000000000001,0.6731,17.959831724032263,0.6333,99.4,1,0,298.0
181,chris_dimarco,2002,5,276.0,301.4,315.0,-0.9,279.7,0.6846,0.6808,19.43945538574691,0.6331,211.4,0,0,315.0
182,chris_dimarco,2003,5,276.0,301.4,315.0,-0.9,281.0,0.6756,0.6708,20.429987151244127,0.5808,121.3,1,1,286.0
183,chris_dimarco,2004,5,276.0,301.4,286.0,-0.9,277.3,0.6856,0.6706,19.294503103215693,0.6127,190.7,1,1,276.0
184,chris_dimarco,2005,5,276.0,301.4,276.0,-0.9,281.0,0.6154999999999999,0.6415000000000001,18.909720237075017,0.6115999999999999,154.6,0,0,315.0
